NetName,SatName,Frequency,Beam,SR,FEC,EIRP
A+E Networks,Galaxy 30,4160 H,North America,30000,5/6,0
Showtime HD East Plex 2,Galaxy 30,4180 V,North America,30000,5/6,0
NASA TV,Galaxy 37/Horizons 4,4009 V,North America C,15000,5/6,0
Starz,Galaxy 37/Horizons 4,4040 V,North America C,32500,3/4,0
Starz,Galaxy 33,4100 V,North America C,32500,3/4,0
Herring Networks,Galaxy 37/Horizons 4,4052 H,North America C,17500,5/6,0
MBC America,Galaxy 37/Horizons 4,4070 H,North America C,3257,3/4,0
SES,Apstar 7,3788 H,C,10700,1/2,38.5
SES,Astra 2G,11095 V,West Africa,30000,5/6,0
SES,Astra 2F,11635 V,West Africa,30000,5/6,0
SES,Astra 2F,11675 H,West Africa,30000,5/6,0
SES,Astra 2F,12605 V,West Africa,30000,5/6,0
SES,Astra 3C,12032 H,West,27500,9/10,null
SES,Astra 3C,12168 V,West,27500,3/4,null
SES,Astra 1KR,10773 H,Europe,22000,3/4,0
SES,Astra 1KR,10803 H,Europe,22000,3/4,0
SES,Astra 1KR,10921 H,Europe,22000,7/8,0
SES,Astra 1L,10994 H,Europe Ku,22000,5/6,0
SES,Astra 1L,11112 H,Europe Ku,22000,2/3,0
SES,Astra 1KR,11229 V,Europe,22000,2/3,0
SES,Astra 1L,11288 V,Europe Ku,22000,2/3,0
SES,Astra 1KR,11421 H,Europe,22000,5/6,0
SES,Astra 1L,11553 H,Europe Ku,22000,2/3,0
SES,Astra 1M,11739 V,Europe Wide,27500,3/4,47-49
SES,Astra 1M,11778 V,Europe Wide,29500,9/10,47-49
SES,Astra 1N,12148 H,Pan Europe,27500,3/4,0
SES,Astra 1L,12226 H,Europe Ku,27500,3/4,0
SES,Astra 1M,12344 H,Europe,30000,2/3,0
SES,Astra 1M,12460 H,Europe,27500,3/4,0
SES,Astra 1M,12480 V,Europe,27500,3/4,0
SES,Astra 1N,12552 V,Pan Europe,22000,5/6,0
SES,Astra 1L,12574 H,Europe Ku,22000,2/3,0
SES,Astra 1N,12604 H,Pan Europe,22000,5/6,0
SES,SES 5,11919 H,Sub Saharan Africa,27500,3/4,0
SES,SES 5,12034 H,Sub Saharan Africa,27500,3/4,0
SES,SES 5,12054 V,Sub Saharan Africa,30000,3/4,0
SES,Astra 4A,12380 H,Europe BSS,27500,3/4,0-47
SES,Thor 6,12092 H,K2,28000,7/8,0
SES,Hispasat 30W-5,12052 H,America,27500,2/3,0
SES,Telstar 11N,11482 H,Sub-Saharan Africa,11970,5/6,0
SES,SES 14,4095 L,Europe & America,30000,2/3,36-38
SES,Galaxy 19,11842 H,Ku,22000,3/4,0
SES,SES 21,4180 H,North America,30000,5/6,0
Media-Comm,Galaxy 33,4014 H,North America C,7500,3/4,0
HBO The Works,Galaxy 33,4060 V,North America C,34286,2/3,0
HBO The Works,Galaxy 33,4080 H,North America C,34286,2/3,0
Bally Sports,Galaxy 33,4120 H,North America C,34286,3/4,0
Bally Sports,Galaxy 33,4140 V,North America C,34286,3/4,0
EWTN,Galaxy 33,4150 H,North America C,11936,3/4,0
EWTN,Galaxy 33,4168 H,North America C,16303,1/2,0
Big Ten Network,Galaxy 33,4180 V,North America C,31245,5/6,0
In Demand,SES 22,4030 V,North America,15000,3/4,0
ION Media Networks,SES 18,4040 H,null,30000,2/3,null
ION Media Networks,SES 22,4180 H,North America,30000,5/6,0
