NetName,SatName,Frequency,Systems
ASBU Bouquet,Arabsat 5C,3934 L,DVB-S
ASBU Bouquet,Hispasat 30W-6,12132 H,DVB-S
Signet,Amos 17,3846 R,DVB-S2
Signet,Amos 17,3846 R,8PSK
EClutch,Eutelsat 16A,10721 H,DVB-S2
EClutch,Eutelsat 16A,10721 H,8PSK
Rwanda TV,Eutelsat 10B,3869 R,DVB-S2
Rwanda TV,Eutelsat 10B,3869 R,8PSK
StarTimes TV Kenya,Eutelsat 10B,3898 R,DVB-S2
StarTimes TV Kenya,Eutelsat 10B,3898 R,8PSK
New World TV,Eutelsat 10B,3918 R,DVB-S2
New World TV,Eutelsat 10B,3918 R,8PSK
TVT,Eutelsat 10B,4039 R,DVB-S2
TVT,Eutelsat 10B,4039 R,8PSK
IMPD TV,ABS 3A,3962 H,DVB-S2
IMPD TV,ABS 3A,3962 H,8PSK
IMPD TV Worldwide,ABS 3A,3982 H,DVB-S2
IMPD TV Worldwide,ABS 3A,3982 H,8PSK
IMPD TV Rondônia,ABS 3A,3987 H,DVB-S2
IMPD TV Rondônia,ABS 3A,3987 H,8PSK
CruiseSat,ABS 3A,4130 V,DVB-S2
CruiseSat,ABS 3A,4130 V,QPSK
CruiseSat,Amazonas 3,4040 V,DVB-S2
CruiseSat,Amazonas 3,4040 V,QPSK
CruiseSat,Anik F1R,4120 H,DVB-S2
CruiseSat,Anik F1R,4120 H,8PSK
Rai Way Sicilia 1,Eutelsat 5 West B,11016 H,DVB-S2
Rai Way Sicilia 1,Eutelsat 5 West B,11016 H,8PSK
CRTV,Eutelsat 8 West B,3832 L,DVB-S2
CRTV,Eutelsat 8 West B,3832 L,8PSK
TopStar,Eutelsat 8 West B,3850 R,DVB-S2
TopStar,Eutelsat 8 West B,3850 R,8PSK
Vivacom MCPC,Eutelsat 36B,11345 H,DVB-S2
Vivacom MCPC,Eutelsat 36B,11345 H,8PSK
Vivacom MCPC,Eutelsat 8 West B,3925 R,DVB-S2
Vivacom MCPC,Eutelsat 8 West B,3925 R,QPSK
RFI,Eutelsat 8 West B,3964 R,DVB-S2
RFI,Eutelsat 8 West B,3964 R,QPSK
Freeview,Telstar 12 Vantage,11043 V,DVB-S2
Freeview,Telstar 12 Vantage,11043 V,QPSK
Freeview,Intelsat 901,11495 V,DVB-S2
Freeview,Intelsat 901,11495 V,QPSK
TV Sul Bahia,Intelsat 37e,3773 R,DVB-S2
TV Sul Bahia,Intelsat 37e,3773 R,8PSK
TV Barriga Verde,Intelsat 37e,3778 L,DVB-S2
TV Barriga Verde,Intelsat 37e,3778 L,8PSK
Rede Centro Oeste,Intelsat 37e,3778 R,DVB-S2
Rede Centro Oeste,Intelsat 37e,3778 R,8PSK
TPA,Yamal 402,10962 V,DVB-S2
TPA,Intelsat 37e,4008 R,DVB-S2
TPA,Intelsat 37e,4008 R,QPSK
ORTM,Intelsat 37e,4095 L,DVB-S2
ORTM,Intelsat 37e,4095 L,8PSK
ORTM,Intelsat 37e,4129 L,DVB-S2
ORTM,Intelsat 37e,4129 L,8PSK
TV Cidade Fortaleza,SES 4,4015 L,DVB-S2
TV Cidade Fortaleza,SES 4,4015 L,8PSK
Rede Pampa de Rádios,SES 4,4045 R,DVB-S2
Rede Pampa de Rádios,SES 4,4045 R,QPSK
TV Cidade Verde Piauí,SES 4,4058 L,DVB-S2
TV Cidade Verde Piauí,SES 4,4058 L,QPSK
TV Pampa,SES 4,4062 R,DVB-S2
TV Pampa,SES 4,4062 R,QPSK
TV Antena 10,SES 4,4063 L,DVB-S2
TV Antena 10,SES 4,4063 L,8PSK
TV Tropical,SES 4,4068 L,DVB-S2
TV Tropical,SES 4,4068 L,8PSK
TV Correio,SES 4,4075 L,DVB-S2
TV Correio,SES 4,4075 L,8PSK
TDA,Eutelsat 7 West A,10922 V,DVB-S
TDA,Eutelsat 7 West A,11680 H,DVB-S2
TDA,Eutelsat 7 West A,11680 H,8PSK
TDA,SES 4,12674 H,DVB-S
TDA,Alcomsat 1,12160 H,DVB-S2
TDA,Alcomsat 1,12160 H,8PSK
TDA,Alcomsat 1,12232 H,DVB-S
TDA,Alcomsat 1,12250 H,DVB-S
RTP,Intelsat 901,3830 R,DVB-S2
RTP,Intelsat 901,3830 R,QPSK
TV Tarobá Cascavel,Intelsat 14,3733 V,DVB-S2
TV Tarobá Cascavel,Intelsat 14,3733 V,8PSK
TV Guararapes,Intelsat 14,3750 V,DVB-S2
TV Guararapes,Intelsat 14,3750 V,8PSK
TV Guararapes,Star One C2,4110 H,DVB-S2
TV Guararapes,Star One C2,4110 H,8PSK
Sertel,Intelsat 14,3761 V,DVB-S2
Sertel,Intelsat 14,3761 V,8PSK
Box Brazil,Intelsat 14,3782 H,DVB-S2
Box Brazil,Intelsat 14,3782 H,8PSK
Suyapa TV,Intelsat 14,3784 V,DVB-S2
Suyapa TV,Intelsat 14,3784 V,8PSK
Rede Amazônica,Intelsat 14,3804 H,DVB-S2
Rede Amazônica,Intelsat 14,3804 H,8PSK
Rede Amazônica,Intelsat 14,3806 V,DVB-S2
Rede Amazônica,Intelsat 14,3806 V,8PSK
Rede Amazônica,Intelsat 14,3815 H,DVB-S2
Rede Amazônica,Intelsat 14,3815 H,8PSK
Rede Amazônica,Intelsat 14,3825 V,DVB-S2
Rede Amazônica,Intelsat 14,3825 V,8PSK
TV Pai Eterno,Intelsat 14,3852 V,DVB-S2
TV Pai Eterno,Intelsat 14,3852 V,8PSK
Rede Mais,Intelsat 14,3865 H,DVB-S2
Rede Mais,Intelsat 14,3865 H,8PSK
Grupo ATV,Intelsat 14,3945 V,DVB-S2
Grupo ATV,Intelsat 14,3945 V,8PSK
Antena 7,Intelsat 14,3971 V,DVB-S2
Antena 7,Intelsat 14,3971 V,8PSK
SiBCI,Intelsat 35e,11100 V,DVB-S2
SiBCI,Intelsat 35e,11100 V,8PSK
SiBCI,Intelsat 35e,11646 V,DVB-S2
SiBCI,Intelsat 35e,11646 V,8PSK
SiBCI,Intelsat 14,4059 H,DVB-S
CRP Radios,Intelsat 14,4080 H,DVB-S2
Latina,Intelsat 14,4088 H,DVB-S2
Latina,Intelsat 14,4088 H,8PSK
IRTP,Intelsat 14,4102 H,DVB-S2
IRTP,Intelsat 14,4102 H,8PSK
Televicentro,Intelsat 14,4148 V,DVB-S2
Televicentro,Intelsat 14,4148 V,8PSK
Grupo RPP,Intelsat 14,4178 H,DVB-S2
Grupo RPP,Intelsat 14,4178 H,8PSK
Televisa Networks,Eutelsat 9B,11759 V,DVB-S
Televisa Networks,Intelsat 34,3805 V,DVB-S2
Televisa Networks,Intelsat 34,3805 V,8PSK
Televisa Networks,Intelsat 34,4180 V,DVB-S2
Televisa Networks,Intelsat 34,4180 V,8PSK
Televisa Networks,Eutelsat 117 West A,4060 H,DVB-S2
Televisa Networks,Eutelsat 117 West A,4060 H,8PSK
Televisa Networks,Eutelsat 117 West A,4100 H,DVB-S2
Televisa Networks,Eutelsat 117 West A,4100 H,8PSK
Televisa Networks,Eutelsat 117 West A,4140 H,DVB-S2
Televisa Networks,Eutelsat 117 West A,4140 H,8PSK
HBO Network Latinoamérica,Intelsat 34,3885 V,DVB-S2
HBO Network Latinoamérica,Intelsat 34,3885 V,8PSK
HBO Network Latinoamérica,Intelsat 21,4040 V,DVB-S2
HBO Network Latinoamérica,Intelsat 21,4040 V,8PSK
HBO Network Latinoamérica,Intelsat 21,4080 H,DVB-S2
HBO Network Latinoamérica,Intelsat 21,4080 H,16APSK
Artear,Intelsat 34,3885 H,DVB-S2
Artear,Intelsat 34,3885 H,8PSK
Artear,Intelsat 34,4086 H,DVB-S2
Artear,Intelsat 34,4086 H,8PSK
Albavisión,Intelsat 34,3918 H,DVB-S2
Albavisión,Intelsat 34,3918 H,8PSK
Walt Disney TV,Intelsat 34,3925 V,DVB-S2
Walt Disney TV,Intelsat 34,3925 V,8PSK
Walt Disney TV,Intelsat 34,4086 V,DVB-S2
Walt Disney TV,Intelsat 34,4086 V,8PSK
Walt Disney TV,Galaxy 18,4140 H,DVB-S2X
Walt Disney TV,Galaxy 18,4140 H,16APSK
Repretel,Intelsat 34,3930 H,DVB-S2
Repretel,Intelsat 34,3930 H,8PSK
Turner,Intelsat 34,3966 V,DVB-S2
Turner,Intelsat 34,3966 V,8PSK
Turner,Intelsat 34,4015 V,DVB-S2
Turner,Intelsat 34,4015 V,8PSK
Turner,Intelsat 21,3760 V,DVB-S
Turner,Intelsat 21,3920 H,DVB-S2
Turner,Intelsat 21,3920 H,8PSK
Turner,Galaxy 30,4100 V,DVB-S2
Turner,Galaxy 30,4100 V,16APSK
Turner,Galaxy 30,4120 H,DVB-S2
Turner,Galaxy 30,4120 H,16APSK
ESPN,Telstar 12 Vantage,12609 H,DVB-S
ESPN,Intelsat 34,4015 H,DVB-S2
ESPN,Intelsat 34,4015 H,8PSK
ESPN,Intelsat 21,3790 V,DVB-S2
ESPN,Intelsat 21,3790 V,8PSK
ESPN,Intelsat 21,3809 V,DVB-S2
ESPN,Intelsat 21,3809 V,8PSK
ESPN,Intelsat 21,3910 V,DVB-S2
ESPN,Intelsat 21,3910 V,8PSK
ESPN,Galaxy 18,4160 V,DVB-S2X
ESPN,Galaxy 18,4160 V,16APSK
ESPN,Galaxy 18,4180 H,DVB-S2X
ESPN,Galaxy 18,4180 H,16APSK
CNN,Intelsat 34,4055 H,DVB-S2
CNN,Intelsat 34,4055 H,16APSK
Bloomberg TV,Intelsat 34,4099 H,DVB-S2
Bloomberg TV,Intelsat 34,4099 H,8PSK
Igreja Cristã Maranata,Intelsat 34,4105 V,DVB-S2
Igreja Cristã Maranata,Intelsat 34,4105 V,8PSK
SportsMax,Intelsat 34,4139 V,DVB-S2
SportsMax,Intelsat 34,4139 V,8PSK
Caracol TV,Intelsat 21,3789 H,DVB-S2
Caracol TV,Intelsat 21,3789 H,8PSK
TV Nacional de Chile,Intelsat 21,3975 H,DVB-S2
TV Nacional de Chile,Intelsat 21,3975 H,8PSK
Paramount Networks Americas,SES 14,4055 R,DVB-S2
Paramount Networks Americas,SES 14,4055 R,8PSK
Paramount Networks Americas,Intelsat 21,4120 V,DVB-S2
Paramount Networks Americas,Intelsat 21,4120 V,8PSK
Enlace,Intelsat 21,4144 H,DVB-S2
Enlace,Intelsat 21,4144 H,8PSK
CTN,Intelsat 21,4159 V,DVB-S2
CTN,Intelsat 21,4159 V,8PSK
María+Visión,Intelsat 21,4174 V,DVB-S2
María+Visión,Intelsat 21,4174 V,8PSK
Teletrak,Telstar 14R,11592 V,DVB-S2
Teletrak,Telstar 14R,11592 V,8PSK
TV A Crítica,Star One C3,3723 H,DVB-S2
TV A Crítica,Star One C3,3723 H,8PSK
Rede Bahia,Star One C3,3747 H,DVB-S2
Rede Bahia,Star One C3,3747 H,8PSK
Rede Bahia,Star One C3,3758 H,DVB-S2
Rede Bahia,Star One C3,3758 H,8PSK
TV Jangadeiro,Star One C3,3764 V,DVB-S2
TV Jangadeiro,Star One C3,3764 V,8PSK
TV Mais Família,Star One C3,3775 H,DVB-S2
TV Mais Família,Star One C3,3775 H,8PSK
TV Alterosa,Star One C3,3787 V,DVB-S2
TV Alterosa,Star One C3,3787 V,8PSK
TV Serra Dourada,Star One C3,3815 H,DVB-S2
RBI TV,Star One C3,3846 V,DVB-S2
RBI TV,Star One C3,3846 V,8PSK
Rede 21,Star One C3,3854 H,DVB-S2
Rede 21,Star One C3,3854 H,8PSK
TV Gazeta Alagoas,Star One C3,3854 V,DVB-S2
TV Thathi Vale,Star One C3,3858 V,DVB-S2
Boa Vontade TV,Star One C3,3868 V,DVB-S2
Boa Vontade TV,Star One C3,3868 V,8PSK
Rede CNT Rio de Janeiro,Star One C3,3871 H,DVB-S2
Rede CNT Rio de Janeiro,Star One C3,3871 H,8PSK
SIC TV,Star One C3,3876 V,DVB-S2
SIC TV,Star One C3,3876 V,8PSK
TV Gazeta São Paulo,Star One C3,3883 H,DVB-S2
Fundação Cultural Riograndense,Star One C3,3887 H,DVB-S
SBT Rio,Star One C3,3894 H,DVB-S2
TV Thathi Campinas,Star One C3,3910 V,DVB-S2
TV Thathi Campinas,Star One C3,3910 V,8PSK
Band Vale,Star One C3,3949 V,DVB-S2
TV Aparecida,Star One D2,3982 V,DVB-S2
TV Aparecida,Star One D2,3982 V,8PSK
TV Aparecida,Star One C3,3954 V,DVB-S2
Band Amazonas,Star One C3,3984 V,DVB-S2
Band Amazonas,Star One C3,3984 V,8PSK
Band Bahia,Star One C3,3988 V,DVB-S2
Band Bahia,Star One C3,3988 V,8PSK
Canais Globo,Star One C3,4012 V,DVB-S2
Canais Globo,Star One C3,4012 V,16APSK
Canais Globo,Star One D1,4020 V,DVB-S2
Canais Globo,Star One D1,4020 V,16APSK
Canais Globo,Star One D1,4100 V,DVB-S2
Canais Globo,Star One D1,4100 V,16APSK
TV Canção Nova,Star One C3,4062 V,DVB-S2
TV Canção Nova,Star One C3,4062 V,8PSK
Band SP Interior,Star One C3,4065 H,DVB-S2
Band SP Interior,Star One C3,4065 H,8PSK
Band Minas,Star One C3,4069 H,DVB-S2
Band Rio Interior,Star One C3,4073 H,DVB-S2
Band Rio Interior,Star One C3,4073 H,8PSK
Band Paraná,Star One C3,4078 H,DVB-S2
Band Paraná,Star One C3,4078 H,8PSK
Band Campinas,Star One C3,4083 H,DVB-S2
Big Brother Brasil,Star One C3,4091 V,DVB-S2
Big Brother Brasil,Star One C3,4091 V,8PSK
Grupo Bandeirantes,Star One D2,3990 V,DVB-S2
Grupo Bandeirantes,Star One D2,3990 V,8PSK
Grupo Bandeirantes,Star One C3,4120 H,DVB-S2
Band RS,Star One C3,4125 V,DVB-S2
Band RS,Star One C3,4125 V,8PSK
Inter TV,Star One C3,4134 V,DVB-S2
Inter TV,Star One C3,4134 V,8PSK
Fish TV,Star One C3,4158 H,DVB-S2
Fish TV,Star One C3,4158 H,8PSK
TV Méxiquense,QuetzSat 1,12276 R,DVB-S2
TV Méxiquense,QuetzSat 1,12276 R,8PSK
TV Mirante,Star One D1,3908 H,DVB-S2
TV Mirante,Star One D1,3908 H,8PSK
TV Encontro das Águas,Star One D1,3925 H,DVB-S2
TV Encontro das Águas,Star One D1,3925 H,8PSK
Rede Massa,Star One D1,3966 H,DVB-S2
Rede Massa,Star One D1,3966 H,8PSK
TV Cultura do Pará,Star One D1,3984 H,DVB-S2
TV Cultura do Pará,Star One D1,3984 H,8PSK
TV Assembléia Piauí,Star One D1,4045 V,DVB-S2
TV Assembléia Piauí,Star One D1,4045 V,8PSK
NET,Star One D1,4140 V,DVB-S2
NET,Star One D1,4140 V,8PSK
TV PE,Star One D1,4170 V,DVB-S2
TV PE,Star One D1,4170 V,8PSK
Televisa,Galaxy 19,4140 H,DVB-S2
Televisa,Galaxy 19,4140 H,16APSK
Televisa,Eutelsat 117 West A,3985 V,DVB-S2
Televisa,Eutelsat 117 West A,3985 V,8PSK
Grupo Radio Centro,Eutelsat 115 West B,4118 H,DVB-S
Canal 10 Chiapas,Eutelsat 115 West B,4124 H,DVB-S2
Canal 10 Chiapas,Eutelsat 115 West B,4124 H,8PSK
Canal del Congreso 45.1,Eutelsat 115 West B,4141 V,DVB-S2
Canal del Congreso 45.1,Eutelsat 115 West B,4141 V,QPSK
IKO MG,Measat 3a,4120 H,DVB-S2
IKO MG,Measat 3a,4120 H,8PSK
IKO MG,Galaxy 18,4009 V,DVB-S2
IKO MG,Galaxy 18,4009 V,8PSK
Trinity Broadcasting,Apstar 7,3844 V,DVB-S2
Trinity Broadcasting,Apstar 7,3844 V,QPSK
Trinity Broadcasting,Galaxy 18,4040 V,DVB-S2
Trinity Broadcasting,Galaxy 18,4040 V,8PSK
Univisión,SES 18,4100 V,DVB-S2
Univisión,SES 18,4100 V,8PSK
Univisión,Galaxy 18,4100 H,DVB-S2
Univisión,Galaxy 18,4100 H,8PSK
MLB Network,Galaxy 18,4120 V,DVB-S2
MLB Network,Galaxy 18,4120 V,8PSK
GCI,Galaxy 30,3860 V,DVB-S2
GCI,Galaxy 30,3860 V,8PSK
GCI,Galaxy 30,3900 V,DVB-S2
GCI,Galaxy 30,3900 V,8PSK
GCI,Galaxy 37/Horizons 4,3940 H,DVB-S2
GCI,Galaxy 37/Horizons 4,3940 H,8PSK
GCI,Galaxy 37/Horizons 4,3980 H,DVB-S2
GCI,Galaxy 37/Horizons 4,3980 H,8PSK
ShopHQ,Galaxy 30,4011 V,DVB-S
C-SPAN,Galaxy 30,4029 V,DVB-S2
C-SPAN,Galaxy 30,4029 V,8PSK
AMC Networks,Galaxy 30,4060 V,DVB-S2
AMC Networks,Galaxy 30,4060 V,8PSK
NBC Universal,SES 1,4160 V,DVB-S2
NBC Universal,SES 1,4160 V,8PSK
NBC Universal,Galaxy 30,4080 H,DVB-S2
NBC Universal,Galaxy 30,4080 H,8PSK
A+E Networks,Galaxy 30,4160 H,DVB-S2
A+E Networks,Galaxy 30,4160 H,8PSK
Showtime HD East Plex 2,Galaxy 30,4180 V,DVB-S2
Showtime HD East Plex 2,Galaxy 30,4180 V,8PSK
NASA TV,Galaxy 37/Horizons 4,4009 V,DVB-S2
NASA TV,Galaxy 37/Horizons 4,4009 V,8PSK
Starz,Galaxy 37/Horizons 4,4040 V,DVB-S2
Starz,Galaxy 37/Horizons 4,4040 V,16APSK
Starz,Galaxy 33,4100 V,DVB-S2
Starz,Galaxy 33,4100 V,16APSK
Herring Networks,Galaxy 37/Horizons 4,4052 H,DVB-S2
Herring Networks,Galaxy 37/Horizons 4,4052 H,8PSK
MBC America,Galaxy 37/Horizons 4,4070 H,DVB-S2
MBC America,Galaxy 37/Horizons 4,4070 H,8PSK
SES,Apstar 7,3788 H,DVB-S
SES,Astra 2G,11095 V,DVB-S2
SES,Astra 2G,11095 V,QPSK
SES,Astra 2F,11635 V,DVB-S2
SES,Astra 2F,11635 V,QPSK
SES,Astra 2F,11675 H,DVB-S2
SES,Astra 2F,11675 H,QPSK
SES,Astra 2F,12605 V,DVB-S2
SES,Astra 2F,12605 V,QPSK
SES,Astra 3C,12032 H,DVB-S2
SES,Astra 3C,12032 H,QPSK
SES,Astra 3C,12168 V,DVB-S
SES,Astra 1KR,10773 H,DVB-S2
SES,Astra 1KR,10773 H,8PSK
SES,Astra 1KR,10803 H,DVB-S2
SES,Astra 1KR,10803 H,8PSK
SES,Astra 1KR,10921 H,DVB-S
SES,Astra 1L,10994 H,DVB-S2
SES,Astra 1L,10994 H,8PSK
SES,Astra 1L,11112 H,DVB-S2
SES,Astra 1L,11112 H,8PSK
SES,Astra 1KR,11229 V,DVB-S2
SES,Astra 1KR,11229 V,8PSK
SES,Astra 1L,11288 V,DVB-S2
SES,Astra 1L,11288 V,8PSK
SES,Astra 1KR,11421 H,DVB-S
SES,Astra 1L,11553 H,DVB-S2
SES,Astra 1L,11553 H,8PSK
SES,Astra 1M,11739 V,DVB-S
SES,Astra 1M,11778 V,DVB-S2
SES,Astra 1M,11778 V,QPSK
SES,Astra 1N,12148 H,DVB-S
SES,Astra 1L,12226 H,DVB-S
SES,Astra 1M,12344 H,DVB-S2
SES,Astra 1M,12344 H,8PSK
SES,Astra 1M,12460 H,DVB-S
SES,Astra 1M,12480 V,DVB-S
SES,Astra 1N,12552 V,DVB-S
SES,Astra 1L,12574 H,DVB-S2
SES,Astra 1L,12574 H,8PSK
SES,Astra 1N,12604 H,DVB-S
SES,SES 5,11919 H,DVB-S
SES,SES 5,12034 H,DVB-S
SES,SES 5,12054 V,DVB-S2
SES,SES 5,12054 V,8PSK
SES,Astra 4A,12380 H,DVB-S
SES,Thor 6,12092 H,DVB-S
SES,Hispasat 30W-5,12052 H,DVB-S2
SES,Hispasat 30W-5,12052 H,8PSK
SES,Telstar 11N,11482 H,DVB-S
SES,SES 14,4095 L,DVB-S2
SES,SES 14,4095 L,8PSK
SES,Galaxy 19,11842 H,DVB-S
SES,SES 21,4180 H,DVB-S2
SES,SES 21,4180 H,8PSK
Media-Comm,Galaxy 33,4014 H,DVB-S2
Media-Comm,Galaxy 33,4014 H,8PSK
HBO The Works,Galaxy 33,4060 V,DVB-S2
HBO The Works,Galaxy 33,4060 V,16APSK
HBO The Works,Galaxy 33,4080 H,DVB-S2
HBO The Works,Galaxy 33,4080 H,16APSK
Bally Sports,Galaxy 33,4120 H,DVB-S2
Bally Sports,Galaxy 33,4120 H,8PSK
Bally Sports,Galaxy 33,4140 V,DVB-S2
Bally Sports,Galaxy 33,4140 V,8PSK
EWTN,Galaxy 33,4150 H,DVB-S
EWTN,Galaxy 33,4168 H,DVB-S2
EWTN,Galaxy 33,4168 H,8PSK
Big Ten Network,Galaxy 33,4180 V,DVB-S2
Big Ten Network,Galaxy 33,4180 V,8PSK
In Demand,SES 22,4030 V,DVB-S2
In Demand,SES 22,4030 V,8PSK
ION Media Networks,SES 18,4040 H,DVB-S2
ION Media Networks,SES 18,4040 H,8PSK
ION Media Networks,SES 22,4180 H,DVB-S2
ION Media Networks,SES 22,4180 H,8PSK
